country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Georgia,0.0141,0.0121,0.0113,0.0112,0.0099,0.00999,0.00918,0.0101,0.016,0.0259,0.0352,0.0425,0.0385,0.0399,0.0396,0.0469,0.053,0.044,0.0385,0.0368,0.0318,0.0288,0.025,0.025,0.0245,0.0222,0.0201
Germany,1.27,1.3,1.24,1.23,1.13,1.01,0.918,0.616,0.783,0.89,0.865,0.758,0.68,0.612,0.606,0.564,0.525,0.5,0.5,0.514,0.518,0.523,0.491,0.527,0.481,0.461,0.445
Ghana,12200,11200,10200,9160,8350,7850,7200,6940,6350,5740,5090,4330,3100,533,340,374,552,313,513,606,857,545,541,594,143,159,266
Greece,0.0579,0.0548,0.053,0.0601,0.0607,0.0688,0.0961,0.0696,0.0608,0.0449,0.038,0.0282,0.0226,0.0164,0.012,0.0121,0.00996,0.0073,0.00618,0.00606,0.0066,0.00618,0.00617,0.00732,0.0132,0.00982,0.00909
Grenada,0.00177,0.00077,0.0005,0.00036,0.00029,0.00025,0.00024,0.00027,0.0003,0.00036,0.00043,0.00052,0.00044,0.00043,0.00045,0.00045,0.00047,0.00048,0.00053,0.00055,0.00064,0.00071,0.0009,0.00112,0.00128,0.00133,0.0011
Guatemala,289,147,98.4,71,54.4,38.7,27.6,24.8,20.6,15.2,10.9,6.89,5.62,3.91,2.55,1.87,1.19,0.919,0.607,0.331,0.291,0.311,0.298,0.345,0.359,0.292,0.286
Guinea,6690,6430,6220,6060,5970,5790,5970,5790,5510,5650,5560,5010,4440,3090,849,664,757,617,1080,1980,1260,1520,2060,1310,1540,1440,722
Guinea-Bissau,1060,1050,1040,1040,1050,981,1010,1010,1020,1010,558,486,502,562,682,841,834,193,143,151,104,174,324,170,182,242,147
Guyana,0.289,0.112,0.0589,0.0248,0.0169,0.017,0.0245,0.0306,0.0447,0.0572,0.073,0.102,0.0986,0.106,0.118,0.127,0.137,0.136,0.131,0.12,0.11,0.0987,0.0972,0.0749,0.0639,0.0551,0.0475
Haiti,95.1,90.6,41.5,21.7,0.0182,0.0467,0.0439,0.0516,0.107,0.0185,31.6,4.8,0.0109,0.00164,0.00031,0.00139,0.00311,0.00096,0.00457,0.00989,0.00025,0.00466,0.00235,0.00048,0.00197,0.0007,0.00078
