country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jamaica,4.68,6.64,8.89,11.3,13.9,16.6,19.1,21.6,23.8,25.7,27.2,28,27.2,25.3,24.1,14.6,2.88,0.811,0.88,0.685,0.524,0.501,0.474,0.502,0.474,0.626,1.46
Japan,6.67,7.25,6.45,7.6,10.6,15.1,15.1,15.7,14,15,9.58,10.2,9.35,9.35,8.77,9.1,9.11,9.18,8.35,8.12,7.74,7.43,7.32,6.67,6.23,5.82,5.42
Jordan,0.0926,0.11,0.131,0.158,0.188,0.218,0.246,0.272,0.295,0.317,0.335,0.35,0.364,0.377,0.385,0.388,0.385,0.378,0.366,0.357,0.357,0.364,0.372,0.395,0.401,0.392,0.268
Kazakhstan,5.62,16.9,18.4,18.2,21.5,25.5,27.3,25.9,22.3,18.7,14.3,12.8,12.3,10.9,11.6,12.4,13.6,11.6,10.4,12,11.7,10.8,10.3,9.64,9.02,9.34,8.83
Kenya,2860,4070,5510,7110,8760,10300,11700,12700,13400,13700,13800,13600,13100,12600,11900,10600,8900,7330,5440,4580,3920,3180,2860,2790,2280,2910,3160
Kiribati,0.0265,0.0317,0.0355,0.0379,0.0391,0.0392,0.0388,0.0382,0.0375,0.037,0.0365,0.0358,0.0352,0.0348,0.0343,0.0337,0.0331,0.0325,0.032,0.0314,0.031,0.0306,0.0303,0.0302,0.0303,0.0193,0.0137
Kuwait,2.5,2.37,2.5,3.79,1.54,2.54,1.97,1.03,1.91,1.51,1.21,1.12,1.67,1.25,1.16,2.23,1.37,1.86,1.67,2.18,1.82,1.47,1.89,1.27,1.87,1.4,1.29
Kyrgyz Republic,3.06,5.48,3.11,3.33,3.73,9.09,8.57,8.77,38.6,44.6,21.2,22.2,18.9,16.5,15.6,16.7,18.3,9.43,8.85,15.7,14.6,18,22.3,23.6,17.3,15.7,14.5
Lao,0.00557,0.0244,0.0596,0.114,0.2,0.323,0.492,0.739,1.13,1.74,2.65,3.84,5.23,6.67,7.66,8.75,9.03,10.3,11.3,11.9,12.7,12.7,12.7,12.5,12.9,11.7,10.1
Latvia,0.359,0.352,0.37,0.333,0.344,0.357,0.433,0.5,0.436,0.484,0.479,0.439,0.528,0.533,0.455,0.45,0.554,0.557,0.757,0.646,0.762,0.705,0.783,0.814,0.797,0.783,0.762
Lebanon,0.794,0.832,0.86,0.881,0.897,0.908,0.914,0.908,0.89,0.868,0.838,0.807,0.785,0.771,0.753,0.73,0.717,0.711,0.712,0.717,0.732,0.756,0.439,0.176,0.339,0.403,0.348
Lesotho,39.5,65.6,105,159,233,326,437,564,701,843,976,1100,1200,1280,1330,1340,1280,1110,987,785,581,391,300,278,236,176,244
Liberia,33.6,47.7,63.8,81.8,102,125,151,182,218,256,291,319,338,350,354,351,343,327,293,267,240,199,172,160,151,121,81.2
Libya,0.28,0.324,0.368,0.417,0.469,0.527,0.59,0.661,0.744,0.841,0.95,1.07,1.19,1.31,1.42,1.52,1.6,1.68,1.74,1.79,1.82,1.82,1.82,1.8,1.78,1.68,1.25
Lithuania,0.247,0.274,0.232,0.38,0.299,0.342,0.265,0.259,0.299,0.341,0.373,0.313,0.275,0.319,0.367,0.25,0.274,0.304,0.351,0.38,0.425,0.392,0.389,0.403,0.377,0.361,0.344
Luxembourg,0.0549,0.0646,0.0717,0.0787,0.0795,0.0687,0.0713,0.0416,0.031,0.0288,0.0269,0.0249,0.0232,0.0253,0.0209,0.0196,0.0196,0.0174,0.0163,0.0162,0.0162,0.0144,0.0154,0.0141,0.0147,0.0144,0.0142
"Macedonia, FYR",0.0207,0.0237,0.0261,0.0219,0.0189,0.019,0.0179,0.0162,0.016,0.017,0.0181,0.0198,0.0194,0.0208,0.023,0.0245,0.0261,0.0253,0.0226,0.0202,0.0147,0.0118,0.011,0.0106,0.0107,0.0107,0.0107
Madagascar,1.49,2.35,3.59,5.38,7.94,11.5,16.5,23.1,31.8,42.9,56.2,71.2,87.2,103,117,129,137,142,143,143,139,129,122,119,116,114,107
Malawi,1740,2410,3150,3910,4660,5380,6020,6630,7170,7610,7970,8190,8340,8380,8310,8100,7760,7240,6510,5890,5640,4860,3860,3160,2680,2120,1940
Malaysia,1.7,4.57,8.54,12.5,16,18.9,21.2,22.9,22.7,22.2,20.5,18.6,16.7,15.3,15.5,17.2,17.2,17,12.6,10.9,9.16,4.76,2.8,2.08,1.61,1.51,2.55
Maldives,0.00957,0.011,0.0125,0.014,0.0155,0.017,0.0186,0.02,0.0214,0.0227,0.024,0.0254,0.0268,0.0286,0.0308,0.0332,0.0355,0.0379,0.0407,0.043,0.0447,0.046,0.0469,0.0477,0.0482,0.0484,0.0488
Mali,83.6,106,133,163,195,229,262,295,325,352,376,395,409,419,426,427,403,359,323,293,275,198,109,61.5,110,129,209
Malta,0.0422,0.0524,0.0609,0.0691,0.0749,0.0785,0.0701,0.0361,0.0249,0.0239,0.0214,0.0186,0.0174,0.0222,0.0199,0.0193,0.0188,0.0226,0.0236,0.0213,0.0214,0.0218,0.0214,0.0193,0.0203,0.0179,0.0167
Marshall Islands,0.0264,0.0334,0.0396,0.0457,0.0524,0.0592,0.0656,0.0705,0.0737,0.0753,0.0758,0.0763,0.0768,0.0775,0.0794,0.0826,0.0874,0.0936,0.101,0.109,0.118,0.128,0.14,0.153,0.169,0.0598,0.0287
Mauritania,9.63,12.1,14.4,16.6,18.7,20.7,22.5,24.1,25.8,27.4,28.9,30.4,31.7,32.9,33.7,34.1,34.2,32.2,30.9,29.6,28.3,27.5,28.2,27.5,21.2,17.7,19
Mauritius,0.547,0.211,0.16,0.232,0.211,0.183,0.24,0.115,0.174,0.12,0.235,0.111,0.222,0.306,0.375,0.453,0.663,0.923,0.846,0.58,0.919,0.753,0.953,1.24,1.27,1.04,0.962
Mexico,72.8,79.1,98.4,98.7,101,107,122,134,256,242,251,247,242,256,231,199,199,204,190,172,156,141,143,134,115,115,112
"Micronesia, Fed. Sts.",0.063,0.0764,0.0874,0.0961,0.104,0.11,0.114,0.118,0.12,0.122,0.123,0.122,0.121,0.12,0.119,0.12,0.123,0.129,0.138,0.149,0.165,0.188,0.218,0.25,0.284,0.0957,0.0434
Moldova,0.595,0.817,0.747,0.972,1,0.952,1.23,1.17,1.22,1.47,1.35,1.02,0.94,0.811,0.934,0.9,0.94,1.01,1.08,0.972,0.897,0.883,0.895,0.853,0.841,0.763,0.71
Mongolia,0.00014,0.0003,0.00061,0.00103,0.00154,0.00229,0.00332,0.00446,0.00553,0.00664,0.00804,0.00978,0.0121,0.0155,0.0203,0.0186,0.0186,0.0407,0.0696,0.0835,0.0948,0.122,0.143,0.146,0.167,0.203,0.329
Montenegro,0.0147,0.0164,0.0184,0.0156,0.0134,0.0138,0.0133,0.0122,0.0121,0.0126,0.0128,0.0139,0.0136,0.014,0.0146,0.0147,0.0153,0.0149,0.0132,0.0112,0.00785,0.00606,0.00555,0.00544,0.00555,0.00563,0.00565
Morocco,3.82,4.58,5.41,6.29,7.23,8.21,9.19,10.2,11.2,12.4,13.6,15,16.3,16.4,16.6,16.8,16.5,15.9,14.7,13,11.3,10.3,8.49,7.13,6.06,5.4,6.52
Mozambique,565,793,1090,1470,1930,2480,3090,3770,4480,5240,6010,6790,7550,8310,9040,9760,10400,10900,11300,11600,11900,12100,12100,11900,11300,10800,10200
Myanmar,4.27,11.7,23.2,37.2,52.9,70.2,88.7,109,132,158,187,218,247,269,280,282,269,245,206,162,133,117,82.4,60.4,46.6,23.3,26.6
Namibia,52.9,84.9,130,190,267,358,462,576,698,820,935,1020,1090,1140,1090,903,671,504,429,397,317,218,154,127,83.7,51.7,63.7
Nepal,0.015,0.0643,0.161,0.37,0.768,1.47,2.73,5,8.97,15.1,23.3,32.7,42.7,52.5,61.8,70.1,74.9,77.7,78.4,76.4,75.9,71.8,69.2,66.8,61.4,55.2,40.6
Netherlands,3.3,3.02,4.19,3.76,3.67,3.87,3.48,2.45,2.24,1.91,2.23,2,1.49,1.59,1.43,1.22,0.862,0.999,0.918,0.932,0.721,0.764,0.667,0.573,0.616,0.608,0.586
New Zealand,0.569,0.483,0.623,0.622,0.343,0.593,0.344,0.319,0.12,0.191,0.219,0.19,0.181,0.181,0.192,0.106,0.237,0.214,0.143,0.162,0.144,0.105,0.158,0.123,0.114,0.11,0.104
Nicaragua,0.94,1.05,1.17,1.32,1.51,1.74,2.01,2.32,2.66,3.02,3.38,3.73,4.05,4.13,4.21,3.59,2.25,0.492,0.108,0.0901,0.0916,0.101,0.107,0.114,0.11,0.108,0.144
Niger,62.2,87.5,121,165,219,284,358,436,515,591,660,718,761,785,786,771,738,693,636,561,416,329,299,276,239,234,213
Nigeria,2440,3410,4600,5980,7540,9220,11000,12800,14600,16300,17800,19200,20300,21300,22100,22600,22400,21900,21500,20900,20300,19500,18800,16900,15900,12100,8270
North Korea,0.914,1.2,1.58,2.1,2.85,3.81,4.87,6.04,7.32,8.71,10.3,11.9,13.4,14.9,16.4,17.6,18.4,19.1,19.7,20.3,21.1,21.8,22.3,23.2,24.1,24.7,25.4
Norway,0.358,0.513,0.831,0.988,0.684,0.714,0.582,0.41,0.668,0.248,0.376,0.339,0.236,0.291,0.311,0.361,0.137,0.173,0.223,0.303,0.143,0.259,0.234,0.118,0.251,0.179,0.17
Oman,0.2,0.247,0.301,0.362,0.435,0.513,0.609,0.723,0.865,1.03,1.2,1.37,1.54,1.71,1.84,1.92,1.99,1.77,1.41,0.862,0.474,0.347,0.308,0.293,0.304,0.293,0.305
Pakistan,11.6,13,14,14.7,15.1,15.2,15.1,14.9,14.7,14.6,14.7,15.2,16.1,17.4,19.3,21.7,25.3,29.7,35,42.6,53.5,65.2,78.4,87.8,99.8,109,115
Palestine,0.0407,0.0523,0.0662,0.0829,0.103,0.127,0.155,0.186,0.221,0.262,0.307,0.357,0.41,0.463,0.52,0.584,0.657,0.746,0.854,0.982,1.12,1.28,1.44,1.61,1.78,1.87,1.56
